average_rating,brand,category,id,name,price,primary_category,sold,total_rating,url
4.8,Hae Min,Nhà Sách Tiki,3718337,Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),65400,Sách tiếng Việt,5000+,3974,https://tiki.vn/buoc-cham-lai-giua-the-gian-voi-va-tai-ban-p3639597.html?
4.8,Higashino Keigo,Nhà Sách Tiki,17336365,Phía Sau Nghi Can X (Tái Bản 2019),85100,Sách tiếng Việt,5000+,3499,https://tiki.vn/phia-sau-nghi-can-x-tai-ban-2019-p17336364.html?
5.0,Mã Hạo Thiên,Nhà Sách Tiki,92859699,Tâm Lý Học Biểu Cảm,66900,Sách tiếng Việt,5000+,1494,https://tiki.vn/tam-ly-hoc-bieu-cam-p92859698.html?
5.0,ABS AmainBooks,Nhà Sách Tiki,274756853,Bộ thẻ Flashcard Quốc kỳ các nước trên thế giới,170000,Văn phòng phẩm,5,2,https://tiki.vn/bo-the-flashcard-quoc-ky-cac-nuoc-tren-the-gioi-p274756852.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.293634_Y.1875954_Z.3956439_CN.Better-English-Better-Life&itm_medium=CPC&itm_source=tiki-ads&
4.8,Thomas Harris,Nhà Sách Tiki,8885996,Sự Im Lặng Của Bầy Cừu (Tái Bản),88500,Sách tiếng Việt,5000+,2710,https://tiki.vn/su-im-lang-cua-bay-cuu-tai-ban-p8885995.html?
4.8,David A. Phillips,Nhà Sách Tiki,71345382,Sách Thay Đổi Cuộc Sống Với Nhân Số Học - Lê Đỗ Quỳnh Hương,136000,Sách tiếng Việt,5000+,5255,https://tiki.vn/sach-thay-doi-cuoc-song-voi-nhan-so-hoc-le-do-quynh-huong-p71345381.html?
4.8,Nguyễn Đoàn Minh Thư,Nhà Sách Tiki,184466861,Hành Tinh Của Một Kẻ Nghĩ Nhiều,57900,Sách tiếng Việt,5000+,1757,https://tiki.vn/hanh-tinh-cua-mot-ke-nghi-nhieu-p184466860.html?
4.8,Khaled Hosseini,Nhà Sách Tiki,4781791,Người Đua Diều (Tái Bản 2018),99200,Sách tiếng Việt,5000+,2603,https://tiki.vn/nguoi-dua-dieu-tai-ban-2018-p4780917.html?
5.0,John Gray,Nhà Sách Tiki,164091968,Đàn Ông Sao Hỏa Đàn Bà Sao Kim,122200,Sách tiếng Việt,815,55,https://tiki.vn/dan-ong-sao-hoa-dan-ba-sao-kim-p10005245.html?
4.8,Andrea Hirata,Nhà Sách Tiki,52788073,Chiến Binh Cầu Vồng (Tái Bản 2020),83800,Sách tiếng Việt,5000+,3392,https://tiki.vn/chien-binh-cau-vong-tai-ban-2020-p52788072.html?
5.0,Brian L Weiss,Nhà Sách Tiki,161008718,Kiếp Nào Ta Cũng Tìm Thấy Nhau: Câu Chuyện Về Những Linh Hồn Tri Kỷ Vĩnh Viễn Không Chia Lìa (Tái Bản),72200,Sách tiếng Việt,5000+,726,https://tiki.vn/kiep-nao-ta-cung-tim-thay-nhau-cau-chuyen-ve-nhung-linh-hon-tri-ky-vinh-vien-khong-chia-lia-tai-ban-p161008717.html?
4.8,,Nhà Sách Tiki,104612966,FLASHCARD SachID Moon,5000,Văn phòng phẩm,5000+,84,https://tiki.vn/flashcard-sachid-moon-p104612965.html?
5.0,Haruki Murakami,Nhà Sách Tiki,114937971,Rừng Nauy (Tái Bản),115000,Sách tiếng Việt,5000+,1086,https://tiki.vn/rung-nauy-tai-ban-p114937969.html?
5.0,Trâu Hoành Minh,Nhà Sách Tiki,78598428,Tâm Lý Học Tính Cách (Tặng Kèm: 1 Bookmark),73900,Sách tiếng Việt,5000+,1372,https://tiki.vn/tam-ly-hoc-tinh-cach-tang-kem-1-bookmark-p78598381.html?
